rebalance_freq,window,sharpe
30,90,0.017515689333326152
30,120,0.024882943430158615
30,150,0.012246129901505764
30,180,0.014590466911861876
30,210,0.003921647053114605
30,240,0.0025921837254549505
30,300,-0.01848033456909458
30,270,0.01636896995120705
30,330,0.017181302492414976
30,360,0.00315785181185516
30,390,-0.017370534836559804
30,420,0.016144559716260987
30,450,0.009353279026054496
30,480,-0.0029218081072243953
30,510,0.00023910217386030917
30,540,0.003767373903388557
30,570,-0.000548284077364346
30,600,0.01500508763972266
30,630,-0.012201987288019982
30,660,-0.007823522328094704
30,690,-0.006576465782870948
30,720,-0.005587728316137875
30,750,-0.010059449040188042
30,780,0.005715985683493678
30,810,0.0004435782542754947
30,840,0.008742160452702452
30,870,0.0033676884409292577
30,900,0.006225538824883888
30,930,0.011027638501094679
30,960,0.012334532206721637
30,990,-0.0014113517218503678
30,1020,-0.011168487488836006
30,1050,-0.011018019049846868
30,1080,-0.006491112304402464
30,1110,-0.01895228593682717
30,1140,0.0029392181709364962
30,1170,-0.012901217892207942
30,1200,-0.010127137165165695
30,1230,0.018512627145680628
60,90,-0.0025109713819871553
60,120,0.00913954064846004
60,150,0.009451543307013026
60,180,0.016599866369645506
60,210,-0.01343012195605928
60,240,-0.012224282405869735
60,270,0.002613014697898848
60,300,0.001795468116955735
60,330,-0.0031021427112173923
60,360,0.0014932360564477412
60,390,0.021861826257601476
60,420,0.008066100498695787
60,450,-0.00576269967483414
60,480,0.01576250075571061
60,510,-0.01629716453925276
60,540,0.005914585942946404
60,570,0.009516998637304062
60,600,0.004506035698198338
60,630,0.01330957436443024
60,660,0.011429494383899409
60,690,-0.0037129029209142213
60,720,-0.005834224327726908
60,750,-0.009879795948559445
60,780,0.010672531024880208
60,810,-0.006044700047087446
60,840,0.019948111093257462
60,870,-0.005453694533419814
60,900,0.01335098464560158
60,930,0.005766949794273535
60,960,0.01951085239246659
60,990,-0.0026811634833085723
60,1020,0.0030256243171246
60,1050,-0.012574446257675056
60,1080,0.013073127208062788
60,1110,-0.000755697560031515
60,1140,0.01001661100711452
60,1170,0.014971951343486726
60,1200,0.006795450376573443
60,1230,-0.004705609123724032
90,90,0.0013429095013248514
90,120,-0.013510797467899483
90,150,0.01622919765223235
90,180,-0.011617618513514375
90,210,-0.0036937502536932144
90,240,-0.007422422768379746
90,270,-0.017875182107076885
90,300,-0.002208180019527096
90,330,-0.010858283416623421
90,360,-0.006980341738220494
90,390,-0.00014052789660543233
90,420,0.011319722507607502
90,450,-0.009067686830032931
90,480,0.007283857428601367
90,510,0.013238009401452137
90,540,-0.008716251634539216
90,570,0.0019990280253498662
